OSver;State;Name;Dir;RunObj;Args;Note;Error

XP
5,1;; Демон кэша категорий компонентов; {8C7461EF-2B13-11d2-BE35-3078302C2030}; %windir%\system32\browseui.dll;;;
5,1;; Предзагрузчик Browseui; {438755C2-A8BA-11D1-B96B-00A0C90312E1}; %windir%\system32\browseui.dll;;;
5,1;; Browseui preloader; {438755C2-A8BA-11D1-B96B-00A0C90312E1}; %windir%\system32\browseui.dll;;;
5,1;; Component Categories cache daemon; {8C7461EF-2B13-11d2-BE35-3078302C2030}; %windir%\system32\browseui.dll;;;

Vista
6;; AD RMS Rights Policy Template Management (Automated); \Microsoft\Windows\Active Directory Rights Management Services Client; {CF2CF428-325B-48D3-8CA8-7633E36E5A32}; ;;
6;; AD RMS Rights Policy Template Management (Manual); \Microsoft\Windows\Active Directory Rights Management Services Client; {BF5CB148-7C77-4D8A-A53E-D81C70CF743C}; ;;
6;; AutoWake; \Microsoft\Windows\SideShow; {E51DFD48-AA36-4B45-BB52-E831F02E8316}; ;;
6;; Consolidator; \Microsoft\Windows\Customer Experience Improvement Program; %SystemRoot%\System32\wsqmcons.exe; ;;
6;; ConvertLogEntries; \Microsoft\Windows\PLA\System; %windir%\system32\rundll32.exe; %windir%\system32\pla.dll,PlaConvertLogEntries;;
6;; CrawlStartPages; \Microsoft\Windows\Shell; {51653423-E62D-4FF7-894A-DABB2B8E21E2}; ;;
6;; ehDRMInit; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /DRMInit;;
6;; GadgetManager; \Microsoft\Windows\SideShow; {FF87090D-4A9A-4F47-879B-29A80C355D61},$(Arg0); ;;
6;; GatherWiredInfo; \Microsoft\Windows\Wired; %windir%\system32\gatherWiredInfo.vbs; ;;
6;; GatherWirelessInfo; \Microsoft\Windows\Wireless; %windir%\system32\gatherWirelessInfo.vbs; ;;
6;; HotStart; \Microsoft\Windows\MobilePC; {06DA0625-9701-43DA-BFD7-FBEEA2180A1E}; ;;
6;; IpAddressConflict1; \Microsoft\Windows\Tcpip; rundll32; ndfapi.dll,NdfRunDllDuplicateIPOffendingSystem;;
6;; IpAddressConflict2; \Microsoft\Windows\Tcpip; rundll32; ndfapi.dll,NdfRunDllDuplicateIPDefendingSystem;;
6;; LPRemove; \Microsoft\Windows\MUI; %windir%\system32\lpremove.exe; ;;
6;; mcupdate; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\mcupdate; $(Arg0) -gc;;
6;; Microsoft-Windows-DiskDiagnosticDataCollector; \Microsoft\Windows\DiskDiagnostic; %windir%\system32\rundll32.exe; dfdts.dll,DfdGetDefaultPolicyAndSMART;;
6;; Microsoft-Windows-DiskDiagnosticResolver; \Microsoft\Windows\DiskDiagnostic; %windir%\system32\DFDWiz.exe; ;;
6;; MP Scheduled Scan; \Microsoft\Windows Defender; %ProgramFiles%\windows defender\MpCmdRun.exe; Scan -RestrictPrivileges;;
