ms-itss,{0A9007C0-4076-11D3-8789-0000F8105754}
about,{3050F406-98B5-11CF-BB82-00AA00BDCE0B}
belarc,{6318E0AB-2E93-11D1-B8ED-00608CC9A71F}
BPC,{3A1096B3-9BFA-11D1-AE77-00C04FBBDEBC}
CDL,{3DD53D40-7B8B-11D0-B013-00AA0059CE02}
cdo,{CD00020A-8B95-11D1-82DB-00C04FB1625D}
copernicagentcache,{AAC34CFD-274D-4A9D-B0DC-C74C05A67E1D}
copernicagent,{A979B6BD-E40B-4A07-ABDD-A62C64A4EBF6}
dodots,{9446C008-3810-11D4-901D-00B0D04158D2}
DVD,{12D51199-0DB5-46FE-A120-47A3D7D937CC}
file,{79EAC9E7-BAF9-11CE-8C82-00AA004BA90B}
ftp,{79EAC9E3-BAF9-11CE-8C82-00AA004BA90B}
gopher,{79EAC9E4-BAF9-11CE-8C82-00AA004BA90B}
https,{79EAC9E5-BAF9-11CE-8C82-00AA004BA90B}
http,{79EAC9E2-BAF9-11CE-8C82-00AA004BA90B}
ic32pp,{BBCA9F81-8F4F-11D2-90FF-0080C83D3571}
ipp,
its,{9D148291-B9C8-11D0-A4CC-0000F80149F6}
javascript,{3050F3B2-98B5-11CF-BB82-00AA00BDCE0B}
junomsg,{C4D10830-379D-11D4-9B2D-00C04F1579A5}
lid,{5C135180-9973-46D9-ABF4-148267CBB8BF}
local,{79EAC9E7-BAF9-11CE-8C82-00AA004BA90B}
mailto,{3050F3DA-98B5-11CF-BB82-00AA00BDCE0B}
mctp,{D7B95390-B1C5-11D0-B111-0080C712FE82}
mhtml,{05300401-BCBC-11D0-85E3-00C04FD85AB4}
mk,{79EAC9E6-BAF9-11CE-8C82-00AA004BA90B}
ms-its50,{F8606A00-F5CF-11D1-B6BB-0000F80149F6}
ms-its51,{F6F1E82D-DE4D-11D2-875C-0000F8105754}
ms-its,{9D148291-B9C8-11D0-A4CC-0000F80149F6}
mso-offdap,{3D9F03FA-7A94-11D3-BE81-0050048385D1}
ndwiat,{13F3EA8B-91D7-4F0A-AD76-D2853AC8BECE}
res,{3050F3BC-98B5-11CF-BB82-00AA00BDCE0B}
sysimage,{76E67A63-06E9-11D2-A840-006008059382}
tve-trigger,{CBD30859-AF45-11D2-B6D6-00C04FBBDE6E}
tv,{CBD30858-AF45-11D2-B6D6-00C04FBBDE6E}
vbscript,{3050F3B2-98B5-11CF-BB82-00AA00BDCE0B}
vnd.ms.radio,{3DA2AA3B-3D96-11D2-9BD2-204C4F4F5020}
wia,{13F3EA8B-91D7-4F0A-AD76-D2853AC8BECE}
mso-offdap11,{32505114-5902-49B2-880A-1F7738E5A384}
DirectDVD,{85A81A02-336B-43FF-998B-FE8E194FBA4D}
pcn,{D540F040-F3D9-11D0-95BE-00C04FD93CA5}
msencarta,{74D92DF3-6D9D-11D1-8B38-006097DBED7A}
msero,{B0D92A71-886B-453B-A649-1B91F93801E7}
msref,{74D92DF3-6D9D-11D1-8B38-006097DBED7A}
df2,{219A97F3-D661-4766-B658-646A771AE49E}
df3,{219A97F3-D661-4766-B658-646A771AE49E}
df4,{219A97F3-D661-4766-B658-646A771AE49E}
df5,{219A97F3-D661-4766-B658-646A771AE49E}
df23chat,{219A97F3-D661-4766-B658-646A771AE49E}
df5demo,{219A97F3-D661-4766-B658-646A771AE49E}
ofpjoin,{219A97F3-D661-4766-B658-646A771AE49E}
saphtmlp,{D1F8BD1E-7967-11D2-B43A-006094B9EADB}
sapr3,{D1F8BD1E-7967-11D2-B43A-006094B9EADB}
lbxfile,{56831180-F115-11D2-B6AA-00104B2B9943}
lbxres,{24508F1B-9E94-40EE-9759-9AF5795ADF52}
cetihpz,{CF184AD3-CDCB-4168-A3F7-8E447D129300}
aim,{3050F406-98B5-11CF-BB82-00AA00BDCE0B}
shell,{3050F406-98B5-11CF-BB82-00AA00BDCE0B}
asp,{8D32BA61-D15B-11D4-894B-000000000000}
hsp,{8D32BA61-D15B-11D4-894B-000000000000}
x-asp,{8D32BA61-D15B-11D4-894B-000000000000}
x-hsp,{8D32BA61-D15B-11D4-894B-000000000000}
x-zip,{8D32BA61-D15B-11D4-894B-000000000000}
zip,{8D32BA61-D15B-11D4-894B-000000000000}
bega,{A57721C9-B905-49B3-8BCA-B99FBB8C627E}
bt2,{1730B77B-F429-498F-9B15-4514D83C8294}
copernicdesktopsearch,{D9656C75-5090-45C3-B27E-436FBC7ACFA7}
crick,{B861500A-A326-11D3-A248-0080C8F7DE1E}
dadb,{82D6F09F-4AC2-11D3-8BD9-0080ADB8683C}
dialux,{8352FA4C-39C6-11D3-ADBA-00A0244FB1A2}
emistp,{0EFAEA2E-11C9-11D3-88E3-0000E867A001}
ezstor,{6344A3A0-96A7-11D4-88CC-000000000000}
flowto,{C7101FB0-28FB-11D5-883A-204C4F4F5020}
g7ps,{9EACF0FB-4FC7-436E-989B-3197142AD979}
intu-res,{9CE7D474-16F9-4889-9BB9-53E2008EAE8A}
iwd,{EA5F5649-A6C7-11D4-9E3C-0020AF0FFB56}
mavencache,{DB47FDC2-8C38-4413-9C78-D1A68BF24EED}
ms-help,{314111C7-A502-11D2-BBCA-00C04F8EC294}
msnim,{828030A1-22C1-4009-854F-8E305202313F}
myrm,{4D034FC3-013F-4B95-B544-44D49ABE3E76}
nbso,{DF700763-3EAD-4B64-9626-22BEEFF3EA47}
nim,{3D206AE2-3039-413B-B748-3ACC562EC22A}
OWC11.mso-offdap,{32505114-5902-49B2-880A-1F7738E5A384}
pcl,{182D0C85-206F-4103-B4FA-DCC1FB0A0A44}
pure-go,{4746C79A-2042-4332-8650-48966E44ABA8}
qrev,{9DE24BAC-FC3C-42C4-9FC4-76B3FAFDBD90}
rmh,{23C585BB-48FF-4865-8934-185F0A7EB84C}
SafeAuthenticate,{8125919B-9BE9-4213-A1D6-75188A22D21E}
sds,{79E0F14C-9C52-4218-89A7-7C4B0563D121}
siteadvisor,{3A5DC592-7723-4EAA-9EE6-AF4222BCF879}
smscrd,{FA3F5003-93D4-11D2-8E48-00A0C98BD8C3}
stibo,{FFAD3420-6D61-44F6-BA25-293F17152D79}
textwareilluminatorbase,{CE5CD329-1650-414A-8DB0-4CBF72FAED87}
widimg,{EE7C2AFF-5742-44FF-BD0E-E521B0D3C3BA}
wlmailhtml,{03C514A3-1EFB-4856-9F99-10D7BE1653C0}
