Certificate name;Hash cert;Hash Sign;Hash pub.key
Microsoft Enforced Licensing Registration Authority CA (SHA1);FA6660A94AB45F6A88C0D7874D89A863D74DEE97;0C873EBE4D199091C694AD3B1390F9C9B442C3E1;26990A77587ED8640184C49366ACB075
e-islem.kktcmerkezbankasi.org;F92BE5266CC05DB2DC0DC3F2DC74E02DEFD949CB;CCC96ED04D874C7129A26B0DBFD80BE759407FCE;F484AC6384E95A10561948EB864BCF7E
DigiNotar Services 1024 CA;F8A54E03AADC5692B850496A4C4630FFEAA29D83;AA94D8CD76AABB2199F44C22FFA2A7496E451F3E;3179FE4B5726D8DB2AAF3DF958C96B97
Microsoft Online Svcs BPOS CA2;F5A874F3987EB0A9961A564B669A9050F770308A;25A64C3D9083165D943B020E07018EB0D505266A;E5A2B5AB5A97D360B3EE0ED412514A67
Microsoft Online Svcs BPOS EMEA CA2;E9809E023B4512AA4D4D53F40569C313C1D0294D;4C429F2FE2849696B54F1197602A34F1206EBC9E;FEF4D13CA362F34BE529F60C275D7151
Microsoft Online Svcs BPOS APAC CA3;E95DD86F32C771F0341743EBD75EC33C74A3DED9;8D7A10EA9FB4F62ABA8D4658E921A9CD51C8F666;60F77D31881A33EF9C68D5DEED478F39
Microsoft Genuine Windows Phone Public Preview CA01;E38A2B7663B86796436D8DF5898D9FAA6835B238;1EE185A1A48B2FF301B641E91CDF3A982B5884974571AEE7F312D7B86ADCE2C2;7B3C70941C0DA531BA7F336B2A4AE041
MCSHOLDING TEST;E1F3591E769865C4E447ACC37EAFC9E2BFE4C576;A5838CF0163DADA58ACCDB0366DBA55A6D4E6BA1576AB67180F7033EB4BB5EC6;94429A96DF64F763F13D06C646FF68C9
TRENDnet, Inc.;DB5042ED256FF426867B332887ECCE2D95E79614;795634617E813A70A87C05DD87B05BDE6BDBF432;62DAF46D4586D188049F9F23C0622C67
Microsoft Online Svcs BPOS APAC CA2;D8CE8D07F9F19D2569C2FB854401BC99C1EB7C3B;6057B55AC77749C37CAE902AF52F3349C0DB328D;4FB025C8E7C36B154D44C4A550E01330
Microsoft Online Svcs BPOS APAC CA1;D43153C8C25F0041287987250F1E3CABAC8C2177;97D246881267ED747C73064B8EDB1D9EDC32BC0A;1E972959F5DA1670643F4008F3182251
DarkMatter High Assurance CA;D3FD325D0F2259F693DD789430E3A9430BB59B98;E0204E0F7BA06E1F75608BE1BD6267C5E0B61364CC3B4E871F6210547D0BB836DA996DA1D5496B14B19B4B695EAF6A57;A13A654B1A7E85B9783E7923C99B6D03
NIC CA 2014;D2DBF71823B2B8E78F5958096150BFCB97CC388A;FF5A3B583D9E53C263300094221CA8A3220F152BEF09CD2720F9487E8D40C02E;5F46C2674E6AD9447CF0B8B1A16817B5
Microsoft Online Svcs BPOS APAC CA5;D0BB3E3DFBFB86C0EEE2A047E328609E6E1F185E;646CC98FCF3C2F87FB49920D942CF12C204E2638;BDFD0E91A258C0F3D642449414D7B0FB
login.yahoo.com;D018B62DC518907247DF50925BB09ACF4A5CB3AD;5350604D64B6A1F15F4295F495601B2B1E67BD3D;037B37211FDF7843FAE49F1095C9CC7C
login.live.com;CEA586B2CE593EC7D939898337C57814708AB2BE;4D8CCA09656FC43B0E3785C4A234041502E0A390;1E25F24EDFB0C0042DBB6FBD3C164FB8
*.EGO.GOV.TR;C69F28C825139E65A646C434ACA5A1D200295DB1;B681A35C3D4BF16BBA3DD8D5FE61F8D907691763;CD8489DC816F7B6DD409217B7AE811E1
NIC CA 2011;C6796490CDEEAAB31AED798752ECD003E6866CB2;D77EBA52F36704ADC0365A808B25C10BCA6A3583F0EC09CB5C6A4A8FAFFC218D;BD4FEF1BEC8B66D0E6D82F31A69F668D
127.0.0.1;C597D4E7FF9CE5BD3EC321C11827FCA9294A6BA1;2D2DB918D578DE1115EA8FFD02F3ADB9FAB2D4B3;C8EA502805EA91ECF225309D7680DA20
