Certificate name;Hash cert;Hash Sign;Hash pub.key
Microsoft Root Certificate Authority;CDD4EEAE6000AC7F40C3802C171E30148030C072;391BE92883D52509155BFEAE27B9BD340170B76B;983B132635B7E91DEEF54A6780C09269
Microsoft Root Authority;A43489159A520F0D93D032CCAF37E7FE20A8B419;8B3C3087B7056F5EC5DDBA91A1B901F0;3FC8CB0BC05241E58D65E9448B2D07C2
Symantec Enterprise Mobile Root for Microsoft;92B46C76E13054E104F230517E6E504D43AB10B5;5753D57D68F332262C4CC2E5EF76848E03DDC8212C34C757087C2AA7E320A946;C8B53318BFF7F689DFEA6BFC3FD79372
Microsoft Root Certificate Authority 2011;8F43288AD272F3103B6FB1428485EA3014C0BCFE;279CD652C4E252BFBE5217AC722205D7729BA409148CFA9E6D9E5B1CB94EAFF1;BB048F1838395F6FC3A1F3D2B7E97654
Microsoft Authenticode(tm) Root Authority;7F88CD7223F3C813818C994614A89C99FA3B5247;D67576F5521D1CCAB52E9215E0F9F743;07D34DED498D4577F261BD38B6B8736E
Microsoft Root Certificate Authority 2010;3B1EFD3A66EA28B16697394703A72CA340A05BD5;08FBA831C08544208F5208686B991CA1B2CFC510E7301784DDF1EB5BF0393239;3C70FAEA25600CE3B2CC5F0B222ED629
Microsoft ECC TS Root Certificate Authority 2018;31F9FC8BA3805986B721EA7295C65B3A44534274;03D1C76765EDA88BC8E0875E6091D060432543D180BCB86C064936ADB941C42163780B8289921A94FEBB7F9E47EDAC12;A40F3CB7F5FFA3E812BEC7F85507CBF4
Copyright (c) 1997 Microsoft Corp.;245C97DF7514E7CF2DF8BE72AE957B9E04741E85;9DF0D13100123AECA770130F4AD8D209;7FDFF50729446710244A447CA2A197EA
Microsoft ECC Product Root Certificate Authority 2018;06F1AA330B927B753A40E68CDF22E34BCBEF3352;32991981BF1575A1A5303BB93A381723EA346B9EC130FDB596A75BA1D7CE0B0A06570BB985D25841E23BE944E8FF118F;7D9E7D1E8D5DA11DC0C84B0757ECEDCB
Microsoft Time Stamp Root Certificate Authority 2014;0119E81BE9A14CD8E22F40AC118C687ECBA3F4D8;E4A2F6FE9CA7F18A2BEBA96161308BAA8880B013161DDD8532D4259E27E50570;842773950086D06B04D7022D62A284BE
Microsoft Identity Verification Root Certificate Authority 2020;F40042E2E5F7E8EF8189FED15519AECE42C3BFA2;41CE925678DFE0CCAA8089263C242B897CA582089D14E5EB685FCA967F36DBD334E97E81FD0E64815F851F914ADE1A1E;9F687581F7EF744ECFC12B9CEE6238F1
Microsoft ECC Root Certificate Authority 2017;999A64C37FF47D9FAB95F14769891460EEC4C3C5;255ECFBA8C9FFCE74A3904D84B31FF4B1CBE35B5404EBEFE5D51FB96C4FD02D5CD82F8FEB410F01055BB4FB271DF8ECA;B23E63132203E40391A3197668C3174D
Microsoft RSA Root Certificate Authority 2017;73A5E64A3BFF8316FF0EDCCC618A906E4EAE4D74;4133C4E60FA183EE5E7A4416C5D54C3392C56C2F572829BF59347467BAB07BCDCF840162988341D2D284FBD856DF53B1;109D7393793BCA32403175DC127E0EC1
